cwd: /Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench
/Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench/report/bin/cpp/cpp_delays_run_vec_48000_128_4e259c16133a

Faust compute benchmark
------------------------------------
Identity
  language:       cpp
  dsp:            delays
  bench case:     run
  mode:           vec
  precision:      double
  optimization:   O3
------------------------------------
Configuration
  sample rate:    48000
  buffer size:    128
  inputs:         3
  outputs:        3
  warm-up iters:  50
  run iters:      290000
  batches:        294
------------------------------------
Timing
  elapsed:        0.100370250 s
  ns/compute:     346.104
  fast ns/cmp:    334.592
  slow ns/cmp:    349.275
  spread ns/cmp:  14.683
  spread %:       4.242
  ns/frame:       2.704
  ns/out_samp:    0.901
------------------------------------
Throughput
  frames/s:       369830701.826
  fast frames/s:  382555813.548
  slow frames/s:  366473409.205
  out_samp/s: 1109492105.479
  fast out_samp/s: 1147667440.645
  slow out_samp/s: 1099420227.614
------------------------------------
Validation
  checksum:       408.76799881458282
