Faust compute benchmark
------------------------------------
Identity
  language:        mojo
  dsp:             echo
  bench case:      run
  mode:            vec
  precision:       single
  optimization:    O3
------------------------------------
Configuration
  sample rate:     48000
  buffer size:     64
  inputs:          1
  outputs:         1
  warm-up iters:   50
  run iters:       1000000
  batches:         1000
------------------------------------
Timing
  elapsed:         0.04777800000010757 s
  ns/compute:      47.778000000107596
  fast ns/cmp:     47.59999992529629
  slow ns/cmp:     48.6000000819331
  spread ns/cmp:   1.0000001566368155
  spread %:        2.093013848705604
  ns/frame:        0.7465312500016812
  ns/out_samp:     0.7465312500016812
------------------------------------
Throughput
  frames/s:        1339528653.3520849
  fast frames/s:   1344537817.2361758
  slow frames/s:   1316872425.7634683
  out_samp/s:      1339528653.3520849
  fast out_samp/s: 1344537817.2361758
  slow out_samp/s: 1316872425.7634683
------------------------------------
Validation
  checksum:        129.99972116947174
