language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,APF,run,scalar,double,O3,48000,64,1,1,50,510000,515,0.0997877939999999,195.6623411764706,195.2333,196.6917,1.4583999999999833,0.7453657107601672,3.057224080882353,3.057224080882353,327094113.33414185,327812929.4541454,325382311.50577277,327094113.33414185,327812929.4541454,325382311.50577277,2.0800000010058284
cpp,APF,run,vec,double,O3,48000,64,1,1,50,400000,407,0.099425249,248.5631225,248.075,249.2292,1.154200000000003,0.4643488496568927,3.8837987890625,3.8837987890625,257479868.1168,257986496.019349,256791740.29367343,257479868.1168,257986496.019349,256791740.29367343,2.0800000010058284
mojo,APF,run,scalar,double,O3,48000,64,1,1,50,630000,630,0.1007050000007439,159.8492063503871,159.40000012051314,160.899999900721,1.4999997802078724,0.9383842525435472,2.4976438492247985,2.4976438492247985,400377339.7517716,401505645.8695941,397762585.7022341,400377339.7517716,401505645.8695941,397762585.7022341,2.0800000010058284
mojo,APF,run,vec,double,O3,48000,64,1,1,50,450000,453,0.1002699999989999,222.82222221999996,222.2999999503372,224.70000003522728,2.4000000848900527,1.077091890108003,3.4815972221874993,3.4815972221874993,287224493.8694248,287899235.33197427,284824210.0132017,287224493.8694248,287899235.33197427,284824210.0132017,2.0800000010058284
cpp,HPF,run,scalar,double,O3,48000,64,1,1,50,560000,563,0.1002735809999999,179.05996607142856,178.4083,181.8542,3.445899999999994,1.924439100265101,2.7978119698660713,2.7978119698660713,357422160.8780483,358727704.9330104,351930282.6110148,357422160.8780483,358727704.9330104,351930282.6110148,3.477907739579677e-09
cpp,HPF,run,vec,double,O3,48000,64,1,1,50,430000,439,0.0989111689999999,230.02597441860465,229.3708,232.5375,3.1666999999999916,1.3766706164396827,3.5941558502906976,3.5941558502906976,278229448.4862473,279024182.67713237,275224426.1678224,278229448.4862473,279024182.67713237,275224426.1678224,3.477907739579677e-09
mojo,HPF,run,scalar,double,O3,48000,64,1,1,50,690000,697,0.0998989999970945,144.78115941607905,144.39999977184925,146.40000008512288,2.000000313273631,1.381395425578776,2.262205615876235,2.262205615876235,442046466.94445753,443213297.09916514,437158469.6911735,442046466.94445753,443213297.09916514,437158469.6911735,3.477907739579677e-09
mojo,HPF,run,vec,double,O3,48000,64,1,1,50,410000,416,0.0940300000038405,229.34146342400135,228.70000029797663,230.89999995136168,2.199999653385021,0.9592681674476414,3.583460366000021,3.583460366000021,279059874.49673784,279842588.1793329,277176266.84054303,279059874.49673784,279842588.1793329,277176266.84054303,3.477907739579677e-09
cpp,LPF,run,scalar,double,O3,48000,64,1,1,50,560000,563,0.1003230409999999,179.1482875,178.6209,180.8166,2.195699999999988,1.2256327038571262,2.7991919921875,2.7991919921875,357245949.11352426,358300736.3639977,353949803.2813359,357245949.11352426,358300736.3639977,353949803.2813359,2.08000000519678
cpp,LPF,run,vec,double,O3,48000,64,1,1,50,440000,442,0.10053704,228.4932727272727,227.8833,231.1125,3.22920000000002,1.4132582379588745,3.5702073863636365,3.5702073863636365,280095773.65715164,280845502.9394431,276921412.7318946,280095773.65715164,280845502.9394431,276921412.7318946,2.08000000519678
mojo,LPF,run,scalar,double,O3,48000,64,1,1,50,690000,695,0.0998970000000554,144.77826086964555,144.30000010179356,146.89999989059288,2.599999788799323,1.7958495793372549,2.2621603260882117,2.2621603260882117,442055316.9762406,443520443.20757085,435670524.49057496,442055316.9762406,443520443.20757085,435670524.49057496,2.08000000519678
mojo,LPF,run,vec,double,O3,48000,64,1,1,50,430000,431,0.0991209999992861,230.51395348671204,228.79999996803235,233.50000010395888,4.70000013592653,2.038922184464404,3.6017805232298756,3.6017805232298756,277640459.64223725,279720279.75936186,274089935.638141,277640459.64223725,279720279.75936186,274089935.638141,2.08000000519678
cpp,apf,run,scalar,double,O3,48000,64,1,1,50,560000,562,0.1004336669999999,179.34583392857144,178.8,181.1167,2.3166999999999973,1.2917501060675187,2.8022786551339287,2.8022786551339287,356852448.6913338,357941834.45190156,353363328.726727,356852448.6913338,357941834.45190156,353363328.726727,2.0800000010058284
cpp,apf,run,vec,double,O3,48000,64,1,1,50,440000,443,0.1003662479999999,228.10510909090908,227.1875,231.1416,3.954100000000011,1.733455254798411,3.5641423295454544,3.5641423295454544,280572409.1628892,281705639.6148556,276886549.19754815,280572409.1628892,281705639.6148556,276886549.19754815,2.0800000010058284
mojo,apf,run,scalar,double,O3,48000,64,1,1,50,680000,686,0.0997069999975792,146.62794117291065,146.09999998356216,148.9999998739222,2.89999989036005,1.9777948644455372,2.291061580826729,2.291061580826729,436478883.1381608,438056125.9904223,429530201.705733,436478883.1381608,438056125.9904223,429530201.705733,2.0800000010058284
mojo,apf,run,vec,double,O3,48000,64,1,1,50,490000,494,0.10019199999806,204.47346938379607,203.59999980428256,207.8000001347391,4.2000003304565325,2.0540563737259943,3.1948979591218136,3.1948979591218136,312999041.8457282,314341847.06052154,307988450.2334067,312999041.8457282,314341847.06052154,307988450.2334067,2.0800000010058284
cpp,bandfilter,run,scalar,double,O3,48000,64,1,1,50,510000,513,0.100294834,196.65653725490196,195.1458,198.0542,2.9084000000000003,1.4789236303038302,3.072758394607843,3.072758394607843,325440490.78340364,327959915.099377,323143866.6789192,325440490.78340364,327959915.099377,323143866.6789192,2.0800000071758404
cpp,bandfilter,run,vec,double,O3,48000,64,1,1,50,440000,444,0.099895668,227.03560909090908,225.675,229.3959,3.7209,1.6389059033070383,3.5474313920454543,3.5474313920454543,281894105.7584199,283593663.4540822,278993652.458479,281894105.7584199,283593663.4540822,278993652.458479,2.0800000071758404
mojo,bandfilter,run,scalar,double,O3,48000,64,1,1,50,630000,631,0.1009070000000065,160.16984126985164,158.60000021348242,161.7999998416053,3.199999628122896,1.9978790031586449,2.502653769841432,2.502653769841432,399575847.0670755,403530894.7910041,395550062.1919223,399575847.0670755,403530894.7910041,395550062.1919223,2.0800000071758404
mojo,bandfilter,run,vec,double,O3,48000,64,1,1,50,450000,458,0.0985809999983757,219.06888888527945,216.1000000342028,221.40000000945292,5.299999975250103,2.419330285655291,3.422951388832491,3.422951388832491,292145545.2924449,296159185.51536566,289069557.34989816,292145545.2924449,296159185.51536566,289069557.34989816,2.0800000071758404
cpp,bargraph,run,scalar,double,O3,48000,64,0,10,50,1000000,1000,0.0227911239999999,22.791124,22.65,24.0125,1.3625000000000007,5.97820449750526,0.3561113125,0.0356111312499999,2808110736.4428363,2825607064.01766,2665278500.7808433,28081107364.428364,28256070640.1766,26652785007.808434,13120.0
cpp,bargraph,run,vec,double,O3,48000,64,0,10,50,500000,505,0.099963252,199.926504,199.06250000000003,210.8625,11.799999999999985,5.902168929038035,3.123851625,0.3123851624999999,320117636.8291819,321507064.36420715,303515323.9670401,3201176368.2918196,3215070643.6420717,3035153239.670401,13120.0
mojo,bargraph,run,scalar,double,O3,48000,64,0,10,50,1000000,1000,0.0989649999974062,98.96499999740624,97.90000003704336,100.7999999274034,2.89999989036005,2.930328793448245,1.5463281249594725,0.1546328124959472,646693275.417343,653728293.930375,634920635.3779075,6466932754.17343,6537282939.30375,6349206353.779076,13120.0
mojo,bargraph,run,vec,double,O3,48000,64,0,10,50,1000000,1000,0.0285519999997632,28.551999999763215,28.399999791872688,29.50000016426202,1.1000003723893317,3.852621085732887,0.4461249999963002,0.04461249999963,2241524236.4993963,2253521143.275327,2169491513.343558,22415242364.993965,22535211432.753273,21694915133.435577,13120.0
cpp,bells,run,scalar,double,O3,48000,64,0,1,50,143050,1000,1.474383331,10306.769178608878,10287.112695179903,10354.362454873646,67.249759693741,0.6524814762837039,161.04326841576372,161.04326841576372,6209511.330944369,6221376.385814032,6180969.642401898,6209511.330944369,6221376.385814032,6180969.642401898,0.0
cpp,bells,run,vec,double,O3,48000,64,0,1,50,135550,1000,1.65752687,12228.158391737366,12180.596041055716,12270.667150108777,90.07110905305852,0.7365876869400063,191.06497487089635,191.06497487089635,5233821.639343922,5254258.476702015,5215690.330206102,5233821.639343922,5254258.476702015,5215690.330206102,0.0
mojo,bells,run,scalar,double,O3,48000,64,0,1,50,137550,1000,1.5936599999986356,11586.041439466631,11513.28069028864,11637.638374773023,124.35768448438466,1.0733405808542449,181.03189749166617,181.03189749166617,5523888.4078207,5558797.854549268,5499397.55292046,5523888.4078207,5558797.854549268,5499397.55292046,0.0
cpp,carre_volterra,run,scalar,double,O3,48000,64,0,1,50,310000,317,0.0989369989999999,319.15160967741934,314.1125,320.6625,6.550000000000011,2.052316141103091,4.986743901209677,4.986743901209677,200531653.48182836,203748656.93023995,199586792.9676841,200531653.48182836,203748656.93023995,199586792.9676841,-16.646956744421914
cpp,carre_volterra,run,vec,double,O3,48000,64,0,1,50,179132,197,0.0972997089999999,543.1732409619722,537.4182299947006,547.1578947368421,9.739664742141484,1.7931046685754102,8.487081890030815,8.487081890030815,117826128.33919165,119087884.3105696,116968064.64024626,117826128.33919165,119087884.3105696,116968064.64024626,14.246299757622182
mojo,carre_volterra,run,scalar,double,O3,48000,64,0,1,50,189090,202,0.1027319999993778,543.2968427699925,534.9920593722748,546.5976328972612,11.605573524986426,2.1361385915323097,8.489013168281133,8.489013168281133,117799322.50976604,119627943.77750856,117087956.74940194,117799322.50976604,119627943.77750856,117087956.74940194,9.618444794323295
mojo,carre_volterra,run,vec,double,O3,48000,64,0,1,50,135678,203,0.1004089999987627,740.0536564421848,737.6347260688751,743.1057365682957,5.471010499420572,0.7392721394989803,11.563338381909135,11.563338381909135,86480215.9179655,86763811.05466573,86125024.8121561,86480215.9179655,86763811.05466573,86125024.8121561,-17.49070629198104
cpp,comb_delay1,run,scalar,double,O3,48000,64,0,1,50,360000,367,0.09866817,274.07825,267.3458,277.2458,9.899999999999975,3.612107126340736,4.28247265625,4.28247265625,233509955.64222983,239390332.670272,230842090.30398297,233509955.64222983,239390332.670272,230842090.30398297,19.265490096062425
cpp,comb_delay1,run,vec,double,O3,48000,64,0,1,50,370000,375,0.100017835,270.318472972973,267.4333,271.6541,4.220800000000054,1.5614175211851165,4.223726140202703,4.223726140202703,236757774.2509623,239312007.8913135,235593720.10214457,236757774.2509623,239312007.8913135,235593720.10214457,13.557637015357614
mojo,comb_delay1,run,scalar,double,O3,48000,64,0,1,50,280000,287,0.0983999999989464,351.4285714248087,349.1999999823747,357.7999999833992,8.600000001024455,2.4471544718624285,5.491071428512636,5.491071428512636,182113821.14016125,183276059.5739699,178870877.59354222,182113821.14016125,183276059.5739699,178870877.59354222,-32.65051428647712
cpp,comb_delay2,run,scalar,double,O3,48000,64,0,1,50,570000,577,0.0996184209999999,174.7691596491228,174.3417,176.9958,2.6540999999999997,1.5186317799596525,2.7307681195175437,2.7307681195175437,366197332.11792225,367095192.945807,361590501.01753825,366197332.11792225,367095192.945807,361590501.01753825,18.320416945964094
cpp,comb_delay2,run,vec,double,O3,48000,64,0,1,50,370000,379,0.0983054179999999,265.69031891891893,264.8375,267.1167,2.279200000000003,0.8578408160575655,4.151411233108108,4.151411233108108,240881942.03090623,241657620.2388257,239595652.38714015,240881942.03090623,241657620.2388257,239595652.38714015,18.320416945964094
mojo,comb_delay2,run,scalar,double,O3,48000,64,0,1,50,570000,579,0.099383000000671,174.3561403520544,172.8999999613734,177.09999992803205,4.199999966658652,2.408862663613765,2.72431469300085,2.72431469300085,367064789.75029624,370156159.7125383,361377752.8289532,367064789.75029624,370156159.7125383,361377752.8289532,13.447375828400254
mojo,comb_delay2,run,vec,double,O3,48000,64,0,1,50,270000,279,0.0969909999985247,359.22592592046215,334.1999999975087,371.0999997565523,36.89999975904357,10.272087033944697,5.612905092507221,5.612905092507221,178160860.28871572,191502094.55558673,172460253.41413382,178160860.28871572,191502094.55558673,172460253.41413382,13.447375828400254
