cwd: /Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench
/Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench/report/bin/mojo/mojo_karplus_run_vec_48000_128_4e259c16133a

Faust compute benchmark
------------------------------------
Identity
  language:        mojo
  dsp:             karplus
  bench case:      run
  mode:            vec
  precision:       double
  optimization:    O3
------------------------------------
Configuration
  sample rate:     48000
  buffer size:     128
  inputs:          0
  outputs:         1
  warm-up iters:   50
  run iters:       370000
  batches:         378
------------------------------------
Timing
  elapsed:         0.09892199999740114 s
  ns/compute:      267.35675674973277
  fast ns/cmp:     264.7999997861916
  slow ns/cmp:     276.09999997366685
  spread ns/cmp:   11.300000187475234
  spread %:        4.226562412280059
  ns/frame:        2.0887246621072872
  ns/out_samp:     2.0887246621072872
------------------------------------
Throughput
  frames/s:        478761044.06748986
  fast frames/s:   483383686.1909044
  slow frames/s:   463600144.91926134
  out_samp/s:      478761044.06748986
  fast out_samp/s: 483383686.1909044
  slow out_samp/s: 463600144.91926134
------------------------------------
Validation
  checksum:        0.0
