cwd: /Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench
/Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench/report/bin/cpp/cpp_spectral_tilt_run_vec_48000_128_c54964c01bfe

Faust compute benchmark
------------------------------------
Identity
  language:       cpp
  dsp:            spectral_tilt
  bench case:     run
  mode:           vec
  precision:      double
  optimization:   O3
------------------------------------
Configuration
  sample rate:    48000
  buffer size:    128
  inputs:         1
  outputs:        1
  warm-up iters:  50
  run iters:      126250
  batches:        1000
------------------------------------
Timing
  elapsed:        2.087510919 s
  ns/compute:     16534.740
  fast ns/cmp:    16181.938
  slow ns/cmp:    16986.251
  spread ns/cmp:  804.313
  spread %:       4.864
  ns/frame:       129.178
  ns/out_samp:    129.178
------------------------------------
Throughput
  frames/s:       7741276.873
  fast frames/s:  7910053.986
  slow frames/s:  7535506.230
  out_samp/s: 7741276.873
  fast out_samp/s: 7910053.986
  slow out_samp/s: 7535506.230
------------------------------------
Validation
  checksum:       -0.0033757644014258403
