Faust compute benchmark
------------------------------------
Identity
  language:       cpp
  dsp:            spectral_tilt
  bench case:     run
  mode:           vec
  precision:      double
  optimization:   O3
------------------------------------
Configuration
  sample rate:    48000
  buffer size:    64
  inputs:         1
  outputs:        1
  warm-up iters:  50
  run iters:      138236
  batches:        935
------------------------------------
Timing
  elapsed:        1.146641455 s
  ns/compute:     8294.811
  fast ns/cmp:    8082.235
  slow ns/cmp:    8363.198
  spread ns/cmp:  280.963
  spread %:       3.387
  ns/frame:       129.606
  ns/out_samp:    129.606
------------------------------------
Throughput
  frames/s:       7715667.318
  fast frames/s:  7918602.098
  slow frames/s:  7652575.196
  out_samp/s: 7715667.318
  fast out_samp/s: 7918602.098
  slow out_samp/s: 7652575.196
------------------------------------
Validation
  checksum:       0.00013877639685233589
