cwd: /Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench
/Users/manuelfarzini/Personal/dev/repo/faust/architecture/_bench/report/bin/cpp/cpp_notch_run_vec_48000_128_55c43da939fc

Faust compute benchmark
------------------------------------
Identity
  language:       cpp
  dsp:            notch
  bench case:     run
  mode:           vec
  precision:      double
  optimization:   O3
------------------------------------
Configuration
  sample rate:    48000
  buffer size:    128
  inputs:         1
  outputs:        1
  warm-up iters:  50
  run iters:      220000
  batches:        222
------------------------------------
Timing
  elapsed:        0.101476292 s
  ns/compute:     461.256
  fast ns/cmp:    459.321
  slow ns/cmp:    463.825
  spread ns/cmp:  4.504
  spread %:       0.977
  ns/frame:       3.604
  ns/out_samp:    3.604
------------------------------------
Throughput
  frames/s:       277503241.841
  fast frames/s:  278672335.326
  slow frames/s:  275966151.027
  out_samp/s: 277503241.841
  fast out_samp/s: 278672335.326
  slow out_samp/s: 275966151.027
------------------------------------
Validation
  checksum:       8.2560000478988513
