language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,APF,run,scalar,double,O3,48000,128,1,1,50,260000,261,0.10117337300000001,389.1283576923077,388.17910000000001,391.29160000000002,3.1125000000000114,0.79986460469199039,3.0400652944711539,3.0400652944711539,328940303.29501814,329744697.74390221,327121768.01137567,328940303.29501814,329744697.74390221,327121768.01137567,8.2560000250014127
cpp,APF,run,vec,double,O3,48000,128,1,1,50,200000,204,0.100113208,500.56603999999999,499.25830000000002,503.02499999999998,3.7666999999999575,0.75248812324542791,3.9106721874999999,3.9106721874999999,255710515.23990721,256380314.55861625,254460513.89095971,255710515.23990721,256380314.55861625,254460513.89095971,8.2560000250014127
mojo,APF,run,scalar,double,O3,48000,128,1,1,50,310000,316,0.0993639999996958,320.52903225708326,319.70000000001164,322.69999992422527,2.9999999242136255,0.9359526352693843,2.504133064508463,2.504133064508463,399339801.13644254,400375351.8923845,396653238.3949684,399339801.13644254,400375351.8923845,396653238.3949684,8.256000025001413
mojo,APF,run,vec,double,O3,48000,128,1,1,50,310000,316,0.09935599999880651,320.5032258026016,318.9000000929809,323.20000009349314,4.300000000512227,1.3416401628233856,2.503931451582825,2.503931451582825,399371955.39752656,401379742.7490729,396039603.84583235,399371955.39752656,401379742.7490729,396039603.84583235,8.256000025001413
cpp,HPF,run,scalar,double,O3,48000,128,1,1,50,260000,262,0.10005945899999999,384.84407307692305,374.05840000000001,390.1583,16.099899999999991,4.1834865407377411,3.0065943209134613,3.0065943209134613,332602238.03528661,342192556.02868426,328071964.63589269,332602238.03528661,342192556.02868426,328071964.63589269,-1.8953869584947824e-09
cpp,HPF,run,vec,double,O3,48000,128,1,1,50,200000,207,0.098420999000000009,492.10499499999997,490.83749999999998,494.5625,3.7250000000000227,0.75695228413603544,3.8445702734374998,3.8445702734374998,260107093.60915953,260778770.97817507,258814608.87147731,260107093.60915953,260778770.97817507,258814608.87147731,-1.8953869584947824e-09
mojo,HPF,run,scalar,double,O3,48000,128,1,1,50,320000,324,0.10011999999915133,312.87499999734797,311.1999998509418,314.4999998767162,3.3000000257743523,1.0547343270642666,2.444335937479281,2.444335937479281,409109069.1205273,411311054.1815851,406995230.6841842,409109069.1205273,411311054.1815851,406995230.6841842,-1.8953869584947824e-09
mojo,HPF,run,vec,double,O3,48000,128,1,1,50,280000,286,0.09983099999953993,356.5392857126426,353.79999990254873,360.6999998737592,6.899999971210491,1.9352705992605916,2.7854631696300203,2.7854631696300203,359006721.3607514,361786320.05442774,354865539.3534752,359006721.3607514,361786320.05442774,354865539.3534752,-1.8953869584947824e-09
cpp,LPF,run,scalar,double,O3,48000,128,1,1,50,260000,265,0.099749666999999986,383.6525653846154,381.44999999999999,386.4375,4.9875000000000114,1.3000043398641148,2.9972856670673078,2.9972856670673078,333635199.00271952,335561672.56521171,331230794.11289018,333635199.00271952,335561672.56521171,331230794.11289018,8.2560000480734743
cpp,LPF,run,vec,double,O3,48000,128,1,1,50,210000,210,0.102652461,488.82124285714286,462.87090000000001,514.85839999999996,51.987499999999955,10.635278388503506,3.8189159598214286,3.8189159598214286,261854413.79724935,276534990.64209914,248612045.56437266,261854413.79724935,276534990.64209914,248612045.56437266,8.2560000480734743
mojo,LPF,run,scalar,double,O3,48000,128,1,1,50,320000,329,0.0977340000008553,305.41875000267294,289.59999999642605,308.69999991409713,19.099999917671084,6.253709019994328,2.3860839843958823,2.3860839843958823,419096731.9422263,441988950.2816977,414642047.4104922,419096731.9422263,441988950.2816977,414642047.4104922,8.256000048073474
mojo,LPF,run,vec,double,O3,48000,128,1,1,50,290000,291,0.10145399999964866,349.8413793091333,343.30000016780104,353.8999999364023,10.599999768601265,3.029944539303539,2.733135775852604,2.733135775852604,365880103.2993135,372851732.99573284,361684091.6162822,365880103.2993135,372851732.99573284,361684091.6162822,8.256000048073474
cpp,bandfilter,run,scalar,double,O3,48000,128,1,1,50,260000,269,0.098666373000000002,379.48604999999998,357.45420000000001,394.99579999999997,37.54159999999996,9.8927483632138689,2.9647347656249998,2.9647347656249998,337298301.21555191,358087833.35039842,324054078.54969597,337298301.21555191,358087833.35039842,324054078.54969597,8.2560000285739079
cpp,bandfilter,run,vec,double,O3,48000,128,1,1,50,230000,237,0.098644415000000013,428.8887608695652,410.95830000000001,437.19159999999999,26.233299999999986,6.116574364600365,3.3506934442934782,3.3506934442934782,298445684.93816906,311467124.52333969,292777811.83353019,298445684.93816906,311467124.52333969,292777811.83353019,8.2560000285739079
mojo,bandfilter,run,scalar,double,O3,48000,128,1,1,50,320000,328,0.09771799999907671,305.3687499971148,295.19999989133794,309.200000083365,14.000000192027073,4.584621115343122,2.385693359352459,2.385693359352459,419165353.3677215,433604336.20296866,413971539.3450493,419165353.3677215,433604336.20296866,413971539.3450493,8.256000028573908
mojo,bandfilter,run,vec,double,O3,48000,128,1,1,50,310000,313,0.10109100000227045,326.1000000073241,324.10000003437744,328.0000000813743,3.9000000469968654,1.1959521762984582,2.5476562500572197,2.5476562500572197,392517632.6192125,394939833.3428663,390243902.34220785,392517632.6192125,394939833.3428663,390243902.34220785,8.256000028573908
cpp,bargraph,run,scalar,double,O3,48000,128,0,10,50,1000000,1000,0.04326291500000002,43.262915,42.237499999999997,43.9666,1.7291000000000025,3.9967256020543287,0.3379915234375,0.03379915234375,2958654080.5213876,3030482391.2400122,2911300851.1006083,29586540805.213875,30304823912.400124,29113008511.006084,26240
cpp,bargraph,run,vec,double,O3,48000,128,0,10,50,250000,259,0.099224041999999985,396.89616799999999,382.63749999999999,409.6875,27.050000000000011,6.8153845214247593,3.1007513124999999,0.31007513124999997,322502483.82342666,334520270.491,312433257.05568266,3225024838.2342663,3345202704.9099998,3124332570.5568266,26240
